"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"ICD Chapter"	"ICD Chapter Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2013"	"2013"	27968	488552	5724.67
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2014"	"2014"	28917	506607	5707.97
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2015"	"2015"	30436	524332	5804.72
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2016"	"2016"	30687	539113	5692.13
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2017"	"2017"	31821	548563	5800.79
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2018"	"2018"	32212	561566	5736.10
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2019"	"2019"	32619	575704	5665.93
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2020 "	"2020"	33441	586922	5697.69
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"			327804	5666676	5784.77
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"					884198	16513413	5354.42
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"							2081348	594407208	350.16
"Total"	"Large Fringe Metro"	"2"									2081348	594407208	350.16
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2010"	"2010"	314	4141790	7.58
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2011"	"2011"	335	4203569	7.97
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2012"	"2012"	305	4247965	7.18
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2013"	"2013"	333	4286095	7.77
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2014"	"2014"	328	4348440	7.54
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2015"	"2015"	392	4404440	8.90
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2016"	"2016"	352	4463493	7.89
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	407	4517073	9.01
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	395	4553414	8.67
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	367	4585429	8.00
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2020 "	"2020"	401	4609615	8.70
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"			3929	48361323	8.12
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2010"	"2010"	561	4192713	13.38
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2011"	"2011"	586	4268805	13.73
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2012"	"2012"	618	4331683	14.27
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2013"	"2013"	642	4386214	14.64
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2014"	"2014"	593	4447897	13.33
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2015"	"2015"	620	4514156	13.73
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2016"	"2016"	648	4575725	14.16
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2017"	"2017"	688	4651961	14.79
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	631	4704587	13.41
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	615	4744764	12.96
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2020 "	"2020"	763	4776003	15.98
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"			6965	49594508	14.04
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"					10894	97955831	11.12
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2010"	"2010"	960	4135851	23.21
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2011"	"2011"	900	4087000	22.02
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2012"	"2012"	927	4073124	22.76
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2013"	"2013"	961	4063811	23.65
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2014"	"2014"	979	4068384	24.06
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2015"	"2015"	951	4078854	23.32
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2016"	"2016"	1009	4075959	24.75
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2017"	"2017"	997	4119190	24.20
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	1005	4168281	24.11
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	962	4216955	22.81
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2020 "	"2020"	1163	4275764	27.20
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"			10814	45363173	23.84
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2010"	"2010"	1913	4077371	46.92
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2011"	"2011"	1944	4031824	48.22
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2012"	"2012"	1842	4020704	45.81
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2013"	"2013"	1869	4015032	46.55
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2014"	"2014"	1850	4015289	46.07
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2015"	"2015"	1883	4025396	46.78
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2016"	"2016"	1957	4025552	48.61
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2017"	"2017"	1880	4070894	46.18
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	1912	4127027	46.33
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	1865	4180715	44.61
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2020 "	"2020"	2362	4242314	55.68
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"			21277	44832118	47.46
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"					32091	90195291	35.58
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2010"	"2010"	3020	4688634	64.41
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2011"	"2011"	2901	4640868	62.51
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2012"	"2012"	2948	4579410	64.38
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2013"	"2013"	2897	4510779	64.22
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2014"	"2014"	3122	4465259	69.92
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2015"	"2015"	2936	4428077	66.30
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2016"	"2016"	2898	4390865	66.00
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2017"	"2017"	2864	4343786	65.93
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	2839	4274429	66.42
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	2690	4198206	64.07
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2020 "	"2020"	3032	4151358	73.04
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"			32147	48671671	66.05
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2010"	"2010"	6562	4504602	145.67
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2011"	"2011"	6373	4465413	142.72
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2012"	"2012"	6273	4411850	142.19
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2013"	"2013"	6254	4345398	143.92
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2014"	"2014"	6146	4303694	142.81
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2015"	"2015"	6060	4271628	141.87
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2016"	"2016"	5974	4237071	140.99
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2017"	"2017"	5818	4194223	138.71
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	5836	4125864	141.45
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	5788	4056645	142.68
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2020 "	"2020"	6355	4014013	158.32
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"			67439	46930401	143.70
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"					99586	95602072	104.17
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2010"	"2010"	5667	3975090	142.56
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2011"	"2011"	5950	4144401	143.57
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2012"	"2012"	5998	4197994	142.88
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2013"	"2013"	6151	4266349	144.17
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2014"	"2014"	6397	4342927	147.30
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2015"	"2015"	6676	4426185	150.83
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2016"	"2016"	6900	4499111	153.36
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2017"	"2017"	7043	4551037	154.76
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	7026	4582142	153.33
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	7224	4600746	157.02
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2020 "	"2020"	7561	4597703	164.45
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"			72593	48183685	150.66
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2010"	"2010"	11931	3695239	322.87
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2011"	"2011"	12246	3847149	318.31
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2012"	"2012"	12539	3885283	322.73
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2013"	"2013"	12937	3945114	327.92
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2014"	"2014"	13188	4009638	328.91
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2015"	"2015"	13745	4083867	336.57
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2016"	"2016"	14022	4146589	338.16
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2017"	"2017"	14209	4191445	339.00
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	14454	4218426	342.64
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	14898	4236947	351.62
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2020 "	"2020"	16105	4235730	380.22
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"			150274	44495427	337.73
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"					222867	92679112	240.47
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2010"	"2010"	9419	2475632	380.47
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2011"	"2011"	9469	2561769	369.63
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2012"	"2012"	9533	2734328	348.64
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2013"	"2013"	10210	2878514	354.70
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2014"	"2014"	10599	3020900	350.86
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2015"	"2015"	11058	3159929	349.94
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2016"	"2016"	11812	3297393	358.22
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2017"	"2017"	12402	3420095	362.62
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	12553	3524099	356.20
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	12736	3648847	349.04
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2020 "	"2020"	14107	3784192	372.79
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"			123898	34505698	359.07
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2010"	"2010"	14398	2162406	665.83
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2011"	"2011"	14590	2247737	649.10
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2012"	"2012"	15377	2412570	637.37
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2013"	"2013"	16426	2546964	644.92
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2014"	"2014"	17017	2673748	636.45
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2015"	"2015"	18157	2797514	649.04
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2016"	"2016"	19153	2913904	657.30
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2017"	"2017"	20083	3014609	666.19
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	20947	3099079	675.91
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	21450	3198848	670.55
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2020 "	"2020"	23117	3304524	699.56
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"			200715	30371903	660.86
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"					324613	64877601	500.35
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2010"	"2010"	21376	1628807	1312.37
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2011"	"2011"	20779	1633034	1272.42
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2012"	"2012"	20361	1638175	1242.91
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2013"	"2013"	20110	1649140	1219.42
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2014"	"2014"	19989	1673763	1194.26
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2015"	"2015"	20242	1700247	1190.53
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2016"	"2016"	20036	1738085	1152.76
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2017"	"2017"	20583	1788539	1150.83
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	20999	1874791	1120.07
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	21332	1947293	1095.47
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2020 "	"2020"	22280	2008455	1109.31
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"			228087	19280329	1183.00
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2010"	"2010"	21642	1190029	1818.61
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2011"	"2011"	21566	1212055	1779.29
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2012"	"2012"	21131	1226906	1722.30
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2013"	"2013"	21812	1253010	1740.77
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2014"	"2014"	21911	1282755	1708.12
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2015"	"2015"	22628	1313321	1722.96
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2016"	"2016"	22400	1350190	1659.03
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2017"	"2017"	23052	1399775	1646.84
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	23726	1478439	1604.80
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	24543	1541709	1591.93
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2020 "	"2020"	26226	1596915	1642.29
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"			250637	14845104	1688.35
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"					478724	34125433	1402.84
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2010"	"2010"	41729	784924	5316.31
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2011"	"2011"	42181	817908	5157.18
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2012"	"2012"	42586	835406	5097.64
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2013"	"2013"	42610	852596	4997.68
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2014"	"2014"	42780	863647	4953.41
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2015"	"2015"	44654	877181	5090.63
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2016"	"2016"	43822	886925	4940.89
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2017"	"2017"	44505	891382	4992.81
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2018"	"2018"	44546	900726	4945.57
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2019"	"2019"	44024	903016	4875.22
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2020 "	"2020"	44650	908820	4912.96
"Total"	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"			478087	9522531	5020.59
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2010"	"2010"	22941	386321	5938.33
	"Medium Metro"	"3"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2011"	"2011"	23503	410120	5730.76
